Model Name,Type,Processor Brand,Processor Name,Processor Generation,RAM,RAM Type,Storage Type,Storage Capacity,Graphic Processor,Screen Size,Screen Resolution,Screen Type,Weight,Dimensions,USB Port,HDMI Port,Wireless LAN,Bluetooth,Battery Cell,Battery Backup,Web Camera,Backlit Keyboard,Warranty Summary,Laptop Name,Rating,Rating/Review Count,Final price,MRP,Discount,Product URL
AL15-41,Thin and Light Laptop,AMD,Ryzen 5 Hexa Core,N/A,8 GB,DDR4,SSD,N/A,AMD Radeon AMD,39.62 cm (15.6 inch),1920 x 1080 pixel,Full HD,1.59 kg,360.40 x 239.30 x 19.7 mm,"1 x USB 3.2 Gen 1 (Type A), 2 x USB 2.0 (Type A), 1 x USB 3.2 Gen 2 (Type C)",1 x HDMI Port,Wi-Fi 5,v5.1,N/A,N/A,"HD webcam with 1280 x 720 resolution, 720p HD audio/video recording",N/A,1 Year Carry-in Warranty,"Acer Aspire Lite AMD Ryzen 5 Hexa Core 5625U - (8 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Light Laptop  (15.6 inch, Steel Grey, 1.59 kg)",4,805 Ratings & 69 Reviews,"33,700","59,990",43% off,https://www.flipkart.com/acer-aspire-lite-amd-ryzen-5-hexa-core-5625u-8-gb-512-gb-ssd-windows-11-home-al15-41-thin-light-laptop/p/itm1bc0bcb4598e7?pid=COMGXPH6XJE9ZKGZ&lid=LSTCOMGXPH6XJE9ZKGZUR4LPN&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_4_92&otracker=browse&fm=organic&iid=4a832b84-bd5d-41c7-95cb-b9ccb37a222c.COMGXPH6XJE9ZKGZ.SEARCH&ppt=sp&ppn=sp&ssid=4omxswdndc0000001741522535259
16-af0015TU,Thin and Light Laptop,Intel,Core Ultra 5,N/A,16 GB,LPDDR5,SSD,N/A,Intel Integrated Intel Graphics,40.64 cm (16 Inch),1920 x 1200 Pixel,"WUXGA, IPS, micro-edge, anti-glare, 300 nits, 62.5% sRGB",2.52 Kg,357.7 x 254.8 x 17.9 mm,"2 x USB Type-C 10Gbps signaling rate (USB Power Delivery, DisplayPort 1.4, HP Sleep and Charge), 1 x USB Type-A 10Gbps signaling rate, 1 x USB Type-A 5Gbps signaling rate",1 x HDMI 2.1,Realtek Wi-Fi 6 (2x2),v5.3,N/A,Up to 11 hours,HP True Vision 1080p FHD camera with temporal noise reduction and integrated dual array digital microphones,Yes,1 Year Carry-in Warranty,"HP Pavilion AI PC Intel Core Ultra 5 125U - (16 GB/512 GB SSD/Windows 11 Home) 16-af0015TU Thin and Light Laptop  (16 Inch, Natural Silver Aluminum, 2.52 Kg)",4.4,132 Ratings & 9 Reviews,"71,990","89,356",19% off,https://www.flipkart.com/hp-pavilion-ai-pc-intel-core-ultra-5-125u-16-gb-512-gb-ssd-windows-11-home-16-af0015tu-thin-light-laptop/p/itmdb0b867255e2b?pid=COMHF2JYCESBQYRT&lid=LSTCOMHF2JYCESBQYRTCEJFYN&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_4_93&otracker=browse&fm=organic&iid=4a832b84-bd5d-41c7-95cb-b9ccb37a222c.COMHF2JYCESBQYRT.SEARCH&ppt=sp&ppn=sp&ssid=4omxswdndc0000001741522535259
Gaming A15,Gaming Laptop,AMD,Ryzen 7 Octa Core,N/A,16 GB,DDR5,SSD,N/A,NVIDIA GeForce RTX 3050,39.62 cm (15.6 inch),1920 x 1080 Pixels,"Full HD, Aspect Ratio: 16:9, Refresh Rate: 144Hz, Viewing Angle: 85/85/85/85, Value IPS Level Panel Tech, Contrast Ratio: 1000:1, Brightness: 250nits, 45% NTSC, 62.5% SRGB, 47.34% Adobe, Anti Glare Display, Adaptive-Sync",2.30 Kg,359 x 256 x 22.8 mm,"1 x USB 3.2 Gen 2 Type-C Support DisplayPort, 3 x USB 3.2 Gen 1 Type-A",1 x HDMI 2.1 TMDS,Wi-Fi 6 (802.11 ax) (Dual Band) 2 x 2,v5.3,3 Cell,N/A,720p HD camera,N/A,1 Year Carry-in Warranty,"ASUS TUF Gaming A15 AMD Ryzen 7 Octa Core 7435HS - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) FA566NCR-HN075W Gaming Laptop  (15.6 inch, Graphite Black, 2.30 Kg)",4.4,747 Ratings & 48 Reviews,"63,990","86,990",26% off,https://www.flipkart.com/asus-tuf-gaming-a15-amd-ryzen-7-octa-core-7435hs-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-fa566ncr-hn075w-laptop/p/itm10514ecd2a794?pid=COMHFT2NY5V7RCMK&lid=LSTCOMHFT2NY5V7RCMKJW0ZPL&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_4_94&otracker=browse&fm=organic&iid=4a832b84-bd5d-41c7-95cb-b9ccb37a222c.COMHFT2NY5V7RCMK.SEARCH&ppt=sp&ppn=sp&ssid=4omxswdndc0000001741522535259
16-af0056TU,Thin and Light Laptop,Intel,Core Ultra 5,N/A,16 GB,LPDDR5,SSD,N/A,Intel Integrated Graphics,40.64 cm (16 inch),1920 x 1200 Pixel,"WUXGA, IPS, micro-edge, Anti-glare, 300 nits, 62.5% sRGB",1.77 Kg,357.7 x 254.8 x 17.9 mm,"2 x USB Type-C 10Gbps signaling rate (USB Power Delivery, DisplayPort 1.4, HP Sleep and Charge), 1 x USB Type-A 10Gbps signaling rate, 1 x USB Type-A 5Gbps signaling rate",N/A,Realtek Wi-Fi 6 (2x2),v5.3,N/A,N/A,HP True Vision 1080p FHD IR camera,N/A,1 Year Onsite Warranty,"HP Pavilion Intel Core Ultra 5 125U - (16 GB/1 TB SSD/Windows 11 Home) 16-af0056TU Thin and Light Laptop  (16 inch, Natural Silver Aluminum, 1.77 Kg, With MS Office)",4.4,132 Ratings & 9 Reviews,"72,990","92,083",20% off,https://www.flipkart.com/hp-pavilion-intel-core-ultra-5-125u-16-gb-1-tb-ssd-windows-11-home-16-af0056tu-thin-light-laptop/p/itmb12a25b64f62b?pid=COMH4KYWQJYGZF2Z&lid=LSTCOMH4KYWQJYGZF2ZSWFIBP&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_4_95&otracker=browse&fm=organic&iid=4a832b84-bd5d-41c7-95cb-b9ccb37a222c.COMH4KYWQJYGZF2Z.SEARCH&ppt=sp&ppn=sp&ssid=4omxswdndc0000001741522535259
HP255g9,Thin and Light Laptop,AMD,Ryzen 3 Dual Core,N/A,8 GB,DDR4,SSD,N/A,AMD Radeon Vega 8 Graphics,39.62 cm (15.6 inch),1366 x 768 pixel pixel,HD,1.78 kg,37.6 x 24.6 x 2.25 cm,2 USB 3.1 Gen 1; 1 USB 2.0;,1 HDMI 1.4b,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi® with Bluetooth® 5 Combo,Yes,3 Cell,upto 6 hours,Yes,No,1 Year,"HP 255 G9 AMD Ryzen 3 Dual Core 3250 - (8 GB/512 GB SSD/Windows 11 Home) 255 G8 Thin and Light Laptop  (15.6 inch, Dark Ash, 1.78 kg)",4,"1,359 Ratings & 98 Reviews","23,999","44,911",46% off,https://www.flipkart.com/hp-255-g9-amd-ryzen-3-dual-core-3250-8-gb-512-gb-ssd-windows-11-home-g8-thin-light-laptop/p/itm087b6d1981ee8?pid=COMGFBK9A3Z2QD9H&lid=LSTCOMGFBK9A3Z2QD9HIAVQFL&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_4_96&otracker=browse&fm=organic&iid=4a832b84-bd5d-41c7-95cb-b9ccb37a222c.COMGFBK9A3Z2QD9H.SEARCH&ppt=sp&ppn=sp&ssid=4omxswdndc0000001741522535259
A325-42,Thin and Light Laptop,AMD,Ryzen 3 Quad Core,N/A,16 GB,DDR4,SSD,N/A,AMD Radeon AMD,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD display with IPS (In-Plane Switching) technology, high-brightness Acer ComfyView",1.79 Kg,360.8 x 253.33 x 19.3 mm,N/A,N/A,Wi-Fi 6,Yes,N/A,N/A,"FHD camera, Compatible with Windows, 1920 x 1080 resolution, 1080p HD video",N/A,1 Year Onsite Warranty,"Acer Aspire 3 AMD Ryzen 3 Quad Core 7330U - (16 GB/512 GB SSD/Windows 11 Home) A325-42 Thin and Light Laptop  (15.6 Inch, Pure Silver, 1.79 Kg)",4.1,305 Ratings & 51 Reviews,"29,990","42,990",30% off,https://www.flipkart.com/acer-aspire-3-amd-ryzen-quad-core-7330u-16-gb-512-gb-ssd-windows-11-home-a325-42-thin-light-laptop/p/itmdaf15e01a1d1a?pid=COMH898FYYFGRAFZ&lid=LSTCOMH898FYYFGRAFZL6LJTA&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_5_97&otracker=browse&fm=organic&iid=e7e25bbf-4ba8-42ef-a6d8-97991842c59c.COMH898FYYFGRAFZ.SEARCH&ppt=sp&ppn=sp&ssid=544q3r610w0000001741522626697
250R G9,Thin and Light Laptop,Intel,Core i3,13th Gen,8 GB,DDR4,SSD,N/A,Intel Integrated Intel® UHD Graphics,39.62 cm (15.6 inch),1366 x 768 pixel,"39.6 cm (15.6) diagonal, HD (1366 x 768), narrow bezel, anti-glare, 250 nits, 45% NTSC",1.74 kg,358 x 242 x 9.2 MM,"1 USB Type-C® 10Gbps signaling rate (USB Power Delivery, DisplayPort™ 1.4); 2 USB Type-A 5Gbps signaling rate; 1 AC power; 1 HDMI 1.4b; 1 stereo headphone/microphone combo jack; 1 RJ-45",1 HDMI,Realtek Wi-Fi 6 RTL8852BE (2x2) and Bluetooth® 5.3 wireless card,5.3,"HP Long Life 3-cell, 41 Wh Li-ion",4 hours,720p HD camera,No,1 Year Onsite Warranty,"HP 250R G9 (2024) Intel Core i3 13th Gen Intel Core i3 - 1315U (13th Gen) - (8 GB/512 GB SSD/Windows 11 Home) 250R G9 Thin and Light Laptop  (15.6 inch, Black, 1.74 kg)",4.5,29 Ratings & 1 Reviews,"31,880","39,724",19% off,https://www.flipkart.com/hp-250r-g9-2024-intel-core-i3-13th-gen-1315u-13th-gen-8-gb-512-gb-ssd-windows-11-home-thin-light-laptop/p/itmff5abac6385ed?pid=COMH75KHRZHEHBNY&lid=LSTCOMH75KHRZHEHBNYVIJRHT&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_5_98&otracker=browse&fm=organic&iid=e7e25bbf-4ba8-42ef-a6d8-97991842c59c.COMH75KHRZHEHBNY.SEARCH&ppt=sp&ppn=sp&ssid=544q3r610w0000001741522626697
MacBook Air,Thin and Light Laptop,Apple,M2,N/A,8 GB,Unified Memory,SSD,N/A,NA,34.54 cm (13.6 Inch),2560 x 1664 Pixel,"Liquid Retina Display, LED-backlit display with IPS technology, 500 nits brightness, Wide colour (P3), True Tone technology",1.24 Kg,304.1 x 215.0 x 11.3,"2 x Thunderbolt / USB 4 Ports (USB 4 (up to 40 Gbps), USB 3.1 Gen 2 (up to 10 Gbps)",N/A,802.11ax Wi-Fi 6 wireless networking,v5.0,N/A,Upto 18 Hours,1080p FaceTime HD camera,Yes,1 Year Limited Warranty,"Apple MacBook AIR Apple M2 - (8 GB/256 GB SSD/Mac OS Monterey) MLY33HN/A  (13.6 Inch, Midnight, 1.24 Kg)",4.7,"17,000 Ratings & 1,055 Reviews","69,990","89,900",22% off,https://www.flipkart.com/apple-macbook-air-m2-8-gb-256-gb-ssd-mac-os-monterey-mly33hn-a/p/itmdc5308fa78421?pid=COMGFB2GMCRXZG85&lid=LSTCOMGFB2GMCRXZG855GPGWQ&marketplace=FLIPKART&store=6bo%2Fb5g&spotlightTagId=FkPickId_6bo%2Fb5g&srno=b_5_99&otracker=browse&fm=organic&iid=e7e25bbf-4ba8-42ef-a6d8-97991842c59c.COMGFB2GMCRXZG85.SEARCH&ppt=sp&ppn=sp&ssid=544q3r610w0000001741522626697
Latitude 3440,Business Laptop,Intel,Core i3,12th Gen,8 GB,DDR4,SSD,N/A,Intel Integrated UHD Graphics,35.56 cm (14 inch),1366 x 768 pixel,"14"", HD 1366x768, 60Hz, TN, Non-Touch, Anti-Glare, 220 nit, NTSC 45%",1.5 kg,322 x 219 x 18.6 mm,"2 x USB 3.2 Gen1, 1 x USB 3.2 Gen1 with PowerShare, 1 x USB Type-C 3.2 Gen2 with Power Delivery & DisplayPort",1 x HDMI 1.4,"Wi-Fi 6E AX211, 2x2, 802.11ax",v5.3,3 cell,Upto 6 hours,720p HD camera,No,1 Year Onsite Warranty,"DELL Latitude 3440 (2024) Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Pro) Latitude 3440 Business Laptop  (14 inch, Grey, 1.5 kg, With MS Office)",4.1,19 Ratings & 1 Reviews,"29,999","70,565",57% off,https://www.flipkart.com/dell-latitude-3440-2024-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-pro-business-laptop/p/itm7f265faf0871e?pid=COMH5G3F8BGPNY9N&lid=LSTCOMH5G3F8BGPNY9NFXQQ92&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_5_100&otracker=browse&fm=organic&iid=e7e25bbf-4ba8-42ef-a6d8-97991842c59c.COMH5G3F8BGPNY9N.SEARCH&ppt=sp&ppn=sp&ssid=544q3r610w0000001741522626697
V15,Thin and Light Laptop,Intel,Core i5,12th Gen,8 GB,DDR4,SSD,N/A,Intel Integrated UHD,39.62 cm (15.6 inch),1920 x 1080 Pixels,"Full HD, Brightness: 250 Nits, 45%NTSC Color Gamut, Anti-Glare, TUV Rheinland Low Blue Light (Software Solution) Certified, Screen-to-Body Ratio: 85%",1.7 kg,359 x 236 x 19.9 mm,"1 x USB 2.0, 1 x USB 3.2 Gen 1, 1 x USB-C 3.2 Gen 1 (Support Data Transfer, Power Delivery 3.0 and DisplayPort 1.2)",1 x HDMI 1.4b,"Wi-Fi 6, 11 ax 2x2",v5.1,2 Cell,N/A,720p HD Camera with Privacy Shutter,N/A,1 Year Onsite Warranty,"Lenovo Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) G3 IAP Thin and Light Laptop  (15.6 inch, Iron Grey, 1.7 kg, With MS Office)",4.4,25 Ratings & 4 Reviews,"40,990","88,414",53% off,https://www.flipkart.com/lenovo-intel-core-i5-12th-gen-1235u-8-gb-512-gb-ssd-windows-11-home-g3-iap-thin-light-laptop/p/itm930d2b10f8362?pid=COMH7NDQBYSCBGNF&lid=LSTCOMH7NDQBYSCBGNFWMBLWO&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_5_101&otracker=browse&fm=organic&iid=e7e25bbf-4ba8-42ef-a6d8-97991842c59c.COMH7NDQBYSCBGNF.SEARCH&ppt=sp&ppn=sp&ssid=544q3r610w0000001741522626697
15R G9,Thin and Light Laptop,Intel,Core i3,13th Gen,8 GB,DDR4,SSD,N/A,Intel Integrated UHD Graphics,39.62 cm (15.6 inch),1366 x 768 pixel,"15.6"" HD 1366x768, 60Hz, Anti-Glare, 250 nit, NTSC 45%",1.6 kg,358 x 242 x 148 mm,"1 x USB Type-C 10Gbps signaling rate (USB Power Delivery, DisplayPort 1.4); 2 x USB Type-A 5Gbps signaling rate",1 x HDMI 1.4b,Realtek Wi-Fi 6 RTL8852BE (2x2) and Bluetooth® 5.3 wireless card,5.3,"3 Cell, 41 Wh Li-ion",Upto 6 hours,720p HD camera,No,1 Year Onsite Warranty,"HP 15R (2025) Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Pro) 15R G9 Thin and Light Laptop  (15.6 inch, Ash Grey, 1.6 kg, With MS Office)",3.8,6 Ratings & 1 Reviews,"33,990","74,990",54% off,https://www.flipkart.com/hp-15r-2025-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-pro-g9-thin-light-laptop/p/itmff5abac6385ed?pid=COMH8PDNRYZH6QHW&lid=LSTCOMH8PDNRYZH6QHWK2OEKI&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_5_102&otracker=browse&fm=organic&iid=e7e25bbf-4ba8-42ef-a6d8-97991842c59c.COMH8PDNRYZH6QHW.SEARCH&ppt=sp&ppn=sp&ssid=544q3r610w0000001741522626697
15-fd0221TU,Thin and Light Laptop,Intel,Core i5,13th Gen,16 GB,DDR4,SSD,N/A,Intel Integrated Iris Xe,39.62 cm (15.6 inch),1920 X 1080 pixel,"Full HD, micro-edge, anti-glare, 250 nits, 45% NTSC",1.59 kg,359.8 x 236 x 18.6 mm,"1 x USB Type-C 5Gbps signaling rate (supports data transfer only and does not support charging or external monitors), 2 x USB Type-A 5Gbps signaling rate;",1 x HDMI 1.4b,Realtek Wi-Fi 6 (1x1),v5.3,N/A,N/A,HP True Vision 1080p FHD camera with temporal noise reduction and integrated dual array digital microphones,N/A,1 Year Onsite warranty,"HP Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0221TU Thin and Light Laptop  (15.6 inch, Natural Silver, 1.59 kg)",4.1,212 Ratings & 13 Reviews,"55,900","79,999",30% off,https://www.flipkart.com/hp-intel-core-i5-13th-gen-1334u-16-gb-512-gb-ssd-windows-11-home-15-fd0221tu-thin-light-laptop/p/itm35a5d83544c54?pid=COMGXNZGBJUZ6B6Z&lid=LSTCOMGXNZGBJUZ6B6ZSFEGYX&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_5_103&otracker=browse&fm=organic&iid=e7e25bbf-4ba8-42ef-a6d8-97991842c59c.COMGXNZGBJUZ6B6Z.SEARCH&ppt=sp&ppn=sp&ssid=544q3r610w0000001741522626697
AL15-41,Thin and Light Laptop,AMD,Ryzen 7 Octa Core,N/A,16 GB,DDR4,SSD,N/A,AMD Radeon AMD,39.62 cm (15.6 Inch),1920 x 1080 Pixels,"Full HD, High Brightness TFT LCD, 16:9 Aspect Ratio, Ultra Slim Design, Mercury Free, Environment Friendly",1.59 kg,360.40 x 239.30 x 19.7 mm,"1 x USB 3.2 Gen 1 (Type A), 2 x USB 2.0 (Type A), 1 x USB 3.2 Gen 2 (Type C)",1 x HDMI Output Port (with HDCP) V1.4b,Wi-Fi 5,v5.1,3 Cell,Upto 7 Hours,"HD Webcam with 1280 x 720 Resolution, 720p HD Audio/Video Recording",N/A,1 Year Onsite Warranty,"Acer Aspire Lite AMD Ryzen 7 Octa Core 5700U - (16 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Light Laptop  (15.6 Inch, Steel Grey, 1.59 kg)",4,221 Ratings & 25 Reviews,"39,990","69,990",42% off,https://www.flipkart.com/acer-aspire-lite-amd-ryzen-7-octa-core-5700u-16-gb-512-gb-ssd-windows-11-home-al15-41-thin-light-laptop/p/itm1bc0bcb4598e7?pid=COMHY74JVWWHKWKA&lid=LSTCOMHY74JVWWHKWKAO8L4DP&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_5_104&otracker=browse&fm=organic&iid=e7e25bbf-4ba8-42ef-a6d8-97991842c59c.COMHY74JVWWHKWKA.SEARCH&ppt=sp&ppn=sp&ssid=544q3r610w0000001741522626697
14IAH8,Thin and Light Laptop,Intel,Core i5,12th Gen,16 GB,LPDDR5,SSD,N/A,Intel Integrated UHD,35.56 cm (14 Inch),1920 x 1200 Pixel,"WUXGA, IPS 300nits Glossy, 45% NTSC, TUV Low Blue Light, Glass",1.46 Kg,312 x 221 x 17.9 mm,"1 x USB 3.2 Gen 1, 1 x USB 3.2 Gen 1 (Always On), 2 x USB-C 3.2 Gen 1 (support data transfer, Power Delivery 3.0 and DisplayPort 1.4)",N/A,"Wi-Fi 6, 11ax 2x2",v5.1,N/A,N/A,Full HD 1080p with Privacy Shutter,Yes,1Yr Warranty + 1 Yr Premium Care and 1 Yr Accidental Damage Protection,"Lenovo IdeaPad Slim 5 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) 14IAH8 Thin and Light Laptop  (14 Inch, Cloud Grey, 1.46 Kg, With MS Office)",4.2,357 Ratings & 29 Reviews,"58,190","72,990",20% off,https://www.flipkart.com/lenovo-ideapad-slim-5-intel-core-i5-12th-gen-12450h-16-gb-512-gb-ssd-windows-11-home-14iah8-thin-light-laptop/p/itmc63731ed924b8?pid=COMGSC4EBMZDMEPD&lid=LSTCOMGSC4EBMZDMEPD87RXWV&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_5_105&otracker=browse&fm=organic&iid=e7e25bbf-4ba8-42ef-a6d8-97991842c59c.COMGSC4EBMZDMEPD.SEARCH&ppt=sp&ppn=sp&ssid=544q3r610w0000001741522626697
Cyborg 15 A12UDX-1049IN,Gaming Laptop,Intel,Core i5,12th Gen,16 GB,DDR5,SSD,N/A,NVIDIA GeForce RTX 3050,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"FHD , 144Hz 45%NTSC IPS-Level",1.98 Kg,359.36 x 250.34 x 22.9 mm,"1 x Type-C (USB3.2 Gen1 / DP), 2 x Type-A USB3.2 Gen1",1x HDMI 2.1 (4K @ 60Hz),802.11 ax Wi-Fi 6,v5.2,N/A,N/A,HD type (30fps@720p),N/A,2 Year Onsite Warranty,"MSI Cyborg 15 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3050/144 Hz) Cyborg 15 A12UDX-1049IN Gaming Laptop  (15.6 Inch, Translucent Black, 1.98 Kg)",4,29 Ratings & 0 Reviews,"63,990","94,990",32% off,https://www.flipkart.com/msi-cyborg-15-intel-core-i5-12th-gen-12450h-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-3050-144-hz-a12udx-1049in-gaming-laptop/p/itme528726b3eb8b?pid=COMGYSGND5R5J6GH&lid=LSTCOMGYSGND5R5J6GHVWX9SR&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_5_106&otracker=browse&fm=organic&iid=e7e25bbf-4ba8-42ef-a6d8-97991842c59c.COMGYSGND5R5J6GH.SEARCH&ppt=sp&ppn=sp&ssid=544q3r610w0000001741522626697
OMEN 14,Gaming Laptop,Intel,Core Ultra 7,N/A,16 GB,LPDDR5X,SSD,N/A,NVIDIA GeForce RTX 4060,35.56 cm (14 inch),2880 x 1800 pixel,"2.8K, OLED, 48Hz - 120Hz, 0.2ms Response Time, UWVA, Edge-to-Edge Glass, Micro-Edge, Low Blue Light, Brightness: SDR- 400 nits, HDR- 500 nits, Contrast Ratio: 1,000,000:1, Color Depth in HDR Mode: 1.07 Billion Colors, IMAX Certified Display",1.63 kg,313 x 233 x 17.9 mm,"1 x Thunderbolt 4 with USB Type C 40 Gbps Signaling Rate (USB Power Delivery, DisplayPort 1.4, HP Sleep and Charge), 1 x USB Type C 10 Gbps Signaling Rate (USB Power Delivery, DisplayPort 1.4, HP Sleep and Charge), 1 x USB Type A 10 Gbps Signaling Rate (HP Sleep and Charge), 1 x USB Type A 10 Gbps Signaling Rate",1 x HDMI 2.1,Intel Wi-Fi 6E AX211 (2x2),v5.3,"6 Cell, 71 Wh Li-ion",N/A,HP True Vision 1080p FHD IR Camera with Temporal Noise Reduction,N/A,1 Year Onsite Warranty,"HP OMEN AI PC OLED Intel Core Ultra 7 155H - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 4060) 14-fb0007TX Gaming Laptop  (14 inch, Shadow Black, 1.63 kg, With MS Office)",4.8,9 Ratings & 1 Reviews,"1,26,990","1,91,668",33% off,https://www.flipkart.com/hp-omen-ai-pc-oled-intel-core-ultra-7-155h-16-gb-1-tb-ssd-windows-11-home-8-gb-graphics-nvidia-geforce-rtx-4060-14-fb0007tx-gaming-laptop/p/itm4376217e58ef4?pid=COMGYWNSHFXFMZES&lid=LSTCOMGYWNSHFXFMZESLQLAGD&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_5_107&otracker=browse&fm=organic&iid=e7e25bbf-4ba8-42ef-a6d8-97991842c59c.COMGYWNSHFXFMZES.SEARCH&ppt=sp&ppn=sp&ssid=544q3r610w0000001741522626697
14IRH8,Thin and Light Laptop,Intel,Core i5,13th Gen,16 GB,LPDDR5X,SSD,N/A,Intel Integrated Iris Xe,35.56 cm (14 inch),1920 x 1200 Pixel,"WUXGA, OLED 400nits Glossy, 100% DCI-P3, 60Hz, Eyesafe, Dolby Vision, DisplayHDR True Black 500",1.35 Kg,312 x 221 x 14.9 mm,"1 x USB 3.2 Gen 1 (Always On), 2 x Thunderbolt 4 / USB4 40Gbps (support data transfer, Power Delivery 3.0 and DisplayPort 1.4)",N/A,"Wi-Fi 6E, 11ax 2x2",v5.1,N/A,N/A,"Full HD 1080p + IR with Privacy Shutter, ToF Sensor",Yes,1Yr Warranty + 1 Yr Premium Care and 1 Yr Accidental Damage Protection,"Lenovo Yoga Slim 6 WUXGA OLED Intel Core i5 13th Gen 13500H - (16 GB/512 GB SSD/Windows 11 Home) 14IRH8 Thin and Light Laptop  (14 inch, Storm Grey, 1.35 Kg, With MS Office)",4.4,116 Ratings & 19 Reviews,"67,990","1,11,890",39% off,https://www.flipkart.com/lenovo-yoga-slim-6-wuxga-oled-intel-core-i5-13th-gen-13500h-16-gb-512-gb-ssd-windows-11-home-14irh8-thin-light-laptop/p/itm4914c3143a9a5?pid=COMGSVFETYUGZUHR&lid=LSTCOMGSVFETYUGZUHRTFCRLG&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_5_108&otracker=browse&fm=organic&iid=e7e25bbf-4ba8-42ef-a6d8-97991842c59c.COMGSVFETYUGZUHR.SEARCH&ppt=sp&ppn=sp&ssid=544q3r610w0000001741522626697
CX1500CKA-NJ0395,Chromebook,Intel,Celeron Dual Core,N/A,8 GB,LPDDR4X,eMMC,N/A,Intel Integrated UHD,39.62 cm (15.6 Inch),1920 x 1080 Pixel,"Full HD, LED Backlit",1.80 Kg,361.3 x 249.9 x 18.7 mm,"2 x USB 3.2 Gen 1 Type-A, 2 x USB 3.2 Gen 1 Type-C",N/A,Wi-Fi 6 (802.11ax),v5.2,N/A,N/A,720p HD camera,No,1 Year Onsite Warranty,"ASUS Chromebook Intel Celeron Dual Core N4500 - (8 GB/128 GB EMMC Storage/Chrome OS) CX1500CKA-NJ0395 Chromebook  (15.6 Inch, Transparent Silver, 1.80 Kg)",3.8,"2,176 Ratings & 196 Reviews","18,990","32,990",42% off,https://www.flipkart.com/asus-chromebook-intel-celeron-dual-core-n4500-8-gb-128-gb-emmc-storage-chrome-os-cx1500cka-nj0395/p/itmc1d20ec9ce589?pid=COMGSHM3TFHNHXEU&lid=LSTCOMGSHM3TFHNHXEUW4QWRC&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_5_109&otracker=browse&fm=organic&iid=e7e25bbf-4ba8-42ef-a6d8-97991842c59c.COMGSHM3TFHNHXEU.SEARCH&ppt=sp&ppn=sp&ssid=544q3r610w0000001741522626697
